Date,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-10-07,Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,0.001,gibibyte month,0.00,0.00,0.00,0.000000,0.00
2025-10-07,Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,2,count,0.00,0.00,0.00,0.000000,0.00
2025-10-07,Firebase Hosting,2662-232A-AC11,Outgoing Bandwidth,5DF2-5F92-77F0,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-07,Firebase Hosting,2662-232A-AC11,Storage,6B36-F770-533F,0,gibibyte month,0.00,0.00,0.00,0.000000,0.00
2025-10-07,Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,0.046,month,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,"2,835",count,45.15,0.00,0.00,45.152000,45.15
2025-10-06,Places API,213C-9623-1402,Places Photo,81E7-85D0-58A7,"3,051",count,21.36,0.00,0.00,21.357000,21.36
2025-10-06,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,"3,072",count,15.36,0.00,0.00,15.360000,15.36
2025-10-06,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,"3,072",count,9.22,0.00,0.00,9.216000,9.22
2025-10-06,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,20,count,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress North America to North America,108E-9EAE-92D9,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,0.003,gibibyte month,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,2,count,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,237,count,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,"3,072",count,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Firebase Hosting,2662-232A-AC11,Outgoing Bandwidth,5DF2-5F92-77F0,0.008,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Firebase Hosting,2662-232A-AC11,Storage,6B36-F770-533F,0.085,gibibyte month,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Network Internet Data Transfer Out North America to North America,40B8-0628-A00F,0.011,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions GOOGLE-API Data Transfer Out,6D32-700C-60C3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions Memory (Request-based billing) in us-central1,769A-FA0B-B049,34.65,gibibyte second,0.00,0.00,-0.00,0.000000,0.00
2025-10-06,Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Invocations,92DF-0F0E-630F,388,count,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions CPU (Request-based billing) in us-central1,AD70-830E-0384,233.74,second,0.01,0.00,-0.01,0.000000,0.00
2025-10-06,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,0.002,gibibyte,0.00,0.00,0.00,0.000000,0.00
2025-10-06,Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from BRU),2DA4-83D6-7E6D,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00
2025-10-06,Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from TPE),4072-8CE2-F75C,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00
2025-10-06,Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from CBF),C509-11B9-542B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
